Số thứ tự (No.),Mã Epic (Epic ID),Tên Epic (Epic Name),Mã User Story (Story ID),Tên User Story (Story Title),User Story,Vai trò (Role),Giá trị nghiệp vụ (Business Value),Mô tả chi tiết (Description),Điều kiện bắt đầu (Precondition),Kết quả sau hoàn thành (Postcondition),Quy tắc liên quan (Business Rule),Độ ưu tiên (Priority),Story Point,Phụ thuộc vào (Dependency),Người phụ trách đề xuất (Assignee),Trạng thái (Status),Ghi chú (Notes)
107,NCL-15,Đồng bộ lịch phòng với kênh đặt phòng trực tuyến,NCL-15-CN-001,Khai báo kênh đặt phòng và ánh xạ loại phòng,"Là Chủ cơ sở, tôi muốn khai báo các kênh đặt phòng đang bán và ánh xạ loại phòng của kênh với loại phòng trong hệ thống, để dữ liệu từ kênh về đúng loại phòng thay vì phải suy đoán.",Chủ cơ sở,Là bước nền bắt buộc của việc đồng bộ lịch. Không có ánh xạ đúng thì mọi lượt đồng bộ sau đó đều sai và còn nguy hiểm hơn là không đồng bộ.,"Chủ cơ sở khai báo từng kênh gồm tên kênh, đường dẫn tệp lịch mà kênh cung cấp, đường dẫn tệp lịch mà cơ sở chia sẻ ngược lại cho kênh, và chu kỳ đồng bộ. Với mỗi kênh, khai báo bảng ánh xạ giữa mã loại phòng bên kênh và loại phòng trong hệ thống, cùng số phòng tối đa phân bổ cho kênh đó. Một loại phòng có thể bán trên nhiều kênh, nhưng tổng số phòng phân bổ không được vượt số phòng thực có của loại đó, hệ thống chặn nếu vượt. Kênh chưa ánh xạ đủ loại phòng thì không được bật đồng bộ. Chủ cơ sở bật hoặc tắt từng kênh bất cứ lúc nào, tắt kênh không xóa dữ liệu đã đồng bộ trước đó. Mọi thay đổi cấu hình kênh đều ghi nhật ký.",Loại phòng và phòng đã được khai báo đầy đủ trong hệ thống.,"Mỗi kênh có cấu hình đầy đủ và bảng ánh xạ loại phòng hợp lệ, sẵn sàng cho việc đồng bộ hai chiều.","QTN-03, QTN-09, QTN-35",Quan trọng,,"NCL-02-CN-002, NCL-10-CN-001",Thành viên ba,Chưa thực hiện,
108,NCL-15,Đồng bộ lịch phòng với kênh đặt phòng trực tuyến,NCL-15-CN-002,Chia sẻ lịch phòng trống ra kênh đặt phòng,"Là Chủ cơ sở, tôi muốn hệ thống chia sẻ tình trạng phòng trống ra kênh theo chuẩn tệp lịch, để kênh ngừng bán những đêm mà cơ sở đã bán trực tiếp.",Chủ cơ sở,Đây là nửa quan trọng nhất của việc chống trùng phòng liên kênh. Phần lớn các vụ trùng phòng xảy ra vì kênh vẫn còn hàng trong khi phòng đã bán tại quầy.,"Hệ thống sinh cho mỗi kênh một tệp lịch theo chuẩn phổ biến, liệt kê các khoảng thời gian mà loại phòng phân bổ cho kênh đó đã hết chỗ. Tệp được cập nhật lại theo chu kỳ đã cấu hình và ngay sau mỗi lần có đặt phòng mới, hủy, đổi ngày hoặc khóa phòng bảo trì, để độ trễ càng ngắn càng tốt. Số phòng còn bán được cho một kênh tính bằng số phòng phân bổ cho kênh trừ đi số phòng của loại đó đã bị chiếm trong khoảng thời gian tương ứng. Phòng đang khóa bảo trì và phòng đang giữ chỗ tạm thời đều được coi là đã bị chiếm. Đường dẫn tệp lịch phải khó đoán và được phép làm mới khi Chủ cơ sở nghi ngờ bị lộ. Mỗi lần sinh tệp đều ghi nhật ký kèm số khoảng thời gian đã chặn.","Kênh đã được khai báo, đã ánh xạ loại phòng và đang ở trạng thái bật đồng bộ.","Kênh nhận được tệp lịch phản ánh đúng phần đã bán của cơ sở, cập nhật lại sau mỗi thay đổi quan trọng.","QTN-01, QTN-35, QTN-10",Bắt buộc,,"NCL-15-CN-001, NCL-03-CN-003, NCL-06-CN-003",Thành viên ba,Chưa thực hiện,
109,NCL-15,Đồng bộ lịch phòng với kênh đặt phòng trực tuyến,NCL-15-CN-003,Nhận lịch bận từ kênh và chặn phòng tương ứng,"Là Lễ tân, tôi muốn hệ thống tự đọc lịch bận từ kênh và chặn số phòng tương ứng trên lịch phòng, để không nhận thêm khách vào những đêm mà kênh đã bán.",Lễ tân,"Là nửa còn lại của việc chống trùng liên kênh. Đây chính là vấn đề gốc nêu trong phần vấn đề thực tế của sản phẩm, khi cơ sở bán qua nhiều kênh và dễ nhận trùng.","Theo chu kỳ đã cấu hình, hệ thống tải tệp lịch của từng kênh đang bật, đọc các khoảng thời gian bận và tạo các lượt chặn phòng gắn với kênh đó theo đúng loại phòng đã ánh xạ. Lượt chặn hiển thị trên lịch phòng với màu và nhãn riêng để lễ tân biết đó là chỗ do kênh giữ chứ không phải khách của cơ sở. Số lượt chặn cho một kênh không được vượt số phòng đã phân bổ cho kênh đó, phần vượt được ghi vào nhật ký đồng bộ như một cảnh báo cần Chủ cơ sở xử lý. Khoảng bận biến mất khỏi tệp của kênh thì lượt chặn tương ứng tự được gỡ. Lễ tân được chuyển một lượt chặn thành đặt phòng chính thức khi có đủ thông tin khách từ kênh, giữ nguyên liên kết tới kênh nguồn để phục vụ báo cáo theo kênh.",Kênh đã bật đồng bộ và đã chia sẻ được tệp lịch bận hợp lệ.,"Những đêm mà kênh đã bán bị chặn trên lịch phòng của cơ sở, và lễ tân phân biệt được chỗ của kênh với đặt phòng trực tiếp.","QTN-01, QTN-35, QTN-10",Bắt buộc,,"NCL-15-CN-001, NCL-03-CN-001, NCL-06-CN-003",Thành viên ba,Chưa thực hiện,
110,NCL-15,Đồng bộ lịch phòng với kênh đặt phòng trực tuyến,NCL-15-CN-004,Xử lý trùng phòng phát hiện khi đồng bộ,"Là Lễ tân, tôi muốn hệ thống báo rõ khi lịch từ kênh gửi về gây trùng với đặt phòng đã có, để tôi xử lý ngay thay vì phát hiện lúc hai nhóm khách cùng đứng ở quầy.",Lễ tân,Đồng bộ luôn có độ trễ nên trùng phòng vẫn có thể xảy ra. Điều quyết định là cơ sở biết trước bao lâu và có công cụ để xử lý êm hay không.,"Khi một lượt chặn từ kênh gây vượt số phòng thực có của loại phòng trong một khoảng thời gian, hệ thống không tự hủy bất kỳ đặt phòng nào mà tạo một cảnh báo trùng phòng nêu rõ kênh nguồn, khoảng thời gian, loại phòng, số phòng thiếu và danh sách các đặt phòng đang chiếm chỗ trong khoảng đó. Cảnh báo được đẩy tới lễ tân và Chủ cơ sở qua trung tâm thông báo và đứng nguyên cho tới khi có người xử lý. Lễ tân xử lý bằng cách đổi phòng cho khách sang loại phòng khác còn trống, đổi ngày, hoặc từ chối một bên kèm ghi chú lý do. Mọi hướng xử lý đều phải đi qua các chức năng nghiệp vụ đã có chứ không được sửa tay trên lịch. Cảnh báo chỉ đóng khi số phòng bị chiếm không còn vượt số phòng thực có, và toàn bộ quá trình được ghi nhật ký.",Việc đồng bộ đã chạy và phát hiện số phòng bị chiếm vượt quá số phòng thực có của một loại phòng.,"Mọi trường hợp trùng phòng liên kênh đều được cảnh báo sớm, có người chịu trách nhiệm xử lý và có dấu vết cách xử lý.","QTN-01, QTN-08, QTN-21, QTN-35",Bắt buộc,,"NCL-15-CN-003, NCL-03-CN-007, NCL-08-CN-008",Thành viên bốn,Chưa thực hiện,
111,NCL-15,Đồng bộ lịch phòng với kênh đặt phòng trực tuyến,NCL-15-CN-005,Nhật ký đồng bộ và cảnh báo kênh mất kết nối,"Là Chủ cơ sở, tôi muốn biết lần đồng bộ gần nhất của từng kênh có thành công hay không, để phát hiện kênh đã ngừng cập nhật trước khi nó gây ra trùng phòng.",Chủ cơ sở,"Một kênh im lặng nguy hiểm hơn một kênh báo lỗi, vì cơ sở vẫn tin rằng lịch đang được đồng bộ trong khi thực tế đã dừng từ nhiều ngày trước.","Hệ thống ghi lại mỗi lần đồng bộ của từng kênh gồm thời điểm, chiều đồng bộ, kết quả, số khoảng thời gian đọc được, số lượt chặn được tạo hoặc gỡ, và mô tả lỗi nếu thất bại. Màn hình hiển thị trạng thái hiện tại của từng kênh cùng thời điểm đồng bộ thành công gần nhất. Khi một kênh thất bại liên tiếp quá số lần cấu hình, hoặc quá số giờ cấu hình mà chưa có lần đồng bộ thành công nào, hệ thống phát cảnh báo tới Chủ cơ sở qua trung tâm thông báo. Chủ cơ sở kích hoạt đồng bộ lại thủ công cho một kênh bất kỳ lúc nào. Nhật ký đồng bộ được giữ tối thiểu ba mươi ngày và xuất ra tệp được để đối chiếu khi có tranh chấp với kênh.",Có ít nhất một kênh đã được khai báo và bật đồng bộ.,Chủ cơ sở nhìn thấy tình trạng đồng bộ của mọi kênh và được cảnh báo khi một kênh ngừng cập nhật.,"QTN-10, QTN-35, QTN-09",Quan trọng,,"NCL-15-CN-002, NCL-15-CN-003",Thành viên bốn,Chưa thực hiện,
112,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-012,Báo cáo công nợ theo tuổi nợ và nhắc thu,"Là Kế toán, tôi muốn xem các khoản công nợ được phân nhóm theo số ngày quá hạn, để biết đòi khoản nào trước thay vì đọc một danh sách phẳng.",Kế toán,Ngoại lệ trả phòng còn nợ chỉ an toàn khi có công cụ theo dõi phía sau. Không có báo cáo tuổi nợ thì ngoại lệ đó sẽ dần thành lỗ hổng thất thu.,"Báo cáo nhóm các hóa đơn còn nợ theo tuổi nợ tính từ hạn thu đã cam kết, ví dụ trong hạn, quá hạn dưới mười lăm ngày, từ mười lăm tới ba mươi ngày và trên ba mươi ngày. Mỗi nhóm hiển thị số hóa đơn, tổng tiền và tỷ trọng, kèm danh sách chi tiết gồm tên khách, mã hóa đơn, số tiền còn nợ, hạn thu và người đã phê duyệt cho nợ. Cho lọc theo khách để nhìn tổng nợ của một khách công ty có nhiều lần lưu trú. Từ mỗi dòng, kế toán đánh dấu đã liên hệ đòi nợ kèm ghi chú và hẹn ngày liên hệ lại, hệ thống nhắc vào ngày đó. Báo cáo xuất ra tệp được. Số liệu phải khớp với phần còn nợ trong báo cáo doanh thu.",Có ít nhất một hóa đơn ở trạng thái còn nợ được tạo qua luồng trả phòng còn nợ.,"Kế toán biết được khoản nào cần đòi trước, ai đã duyệt cho nợ, và mỗi lần liên hệ đòi nợ đều được ghi nhận.","QTN-31, QTN-11, QTN-10, QTN-09",Quan trọng,,"NCL-04-CN-010, NCL-05-CN-003",Thành viên ba,Chưa thực hiện,
113,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-013,Chốt sổ quỹ theo ngày,"Là Kế toán, tôi muốn xem tổng hợp thu chi của cả ngày gộp từ các ca, để đối chiếu một lần cho cả ngày thay vì cộng tay từng phiếu chốt ca.",Kế toán,"Chốt ca giải quyết trách nhiệm của từng người, còn chốt sổ ngày mới là con số dùng để đối chiếu với sổ sách và với báo cáo doanh thu.","Màn hình tổng hợp mọi phiếu chốt ca của một ngày, hiển thị tổng thu theo từng hình thức thanh toán, tổng tiền hoàn cho khách, tổng tiền cọc thu vào, số ca có chênh lệch cùng tổng chênh lệch, và số tiền mặt cuối ngày phải bàn giao. Ngày còn ca chưa chốt thì hệ thống chưa cho chốt sổ ngày và nêu rõ ca nào còn mở. Sau khi chốt sổ ngày, các phiếu chốt ca của ngày đó không được mở lại nếu chưa mở lại sổ ngày, và việc mở lại chỉ Chủ cơ sở làm được kèm lý do. Số liệu chốt sổ ngày phải khớp với phần doanh thu ghi nhận trong cùng ngày, chênh lệch được hiển thị rõ để đối soát chứ không tự làm tròn.",Mọi ca làm việc trong ngày đã được chốt và có ít nhất một giao dịch thu hoặc chi trong ngày.,"Ngày làm việc được khóa sổ với số liệu tổng hợp đầy đủ, làm căn cứ đối soát với báo cáo doanh thu.","QTN-30, QTN-11, QTN-10",Quan trọng,,"NCL-05-CN-008, NCL-05-CN-010",Thành viên ba,Chưa thực hiện,
114,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-010,Báo cáo dịch vụ phụ thu bán chạy,"Là Chủ cơ sở, tôi muốn biết dịch vụ phụ thu nào bán được nhiều và mang lại bao nhiêu tiền, để bỏ bớt dịch vụ không ai dùng và đẩy mạnh dịch vụ có lãi.",Chủ cơ sở,"Dịch vụ phụ thu là nguồn doanh thu tăng thêm rẻ nhất của cơ sở lưu trú, nhưng hiện chỉ có số tổng chứ không biết cấu thành từ đâu.","Báo cáo liệt kê từng dịch vụ phụ thu trong danh mục kèm số lượt bán, tổng số lượng, doanh thu và tỷ trọng trong tổng doanh thu phụ thu của kỳ. Cho xem theo khoảng thời gian, và so sánh giữa các loại phòng để biết nhóm khách nào dùng dịch vụ nào. Các dịch vụ không phát sinh lượt bán nào trong kỳ vẫn được liệt kê với số không, vì đó chính là thông tin quan trọng để cân nhắc bỏ khỏi danh mục. Doanh thu lấy từ hóa đơn đã lập, không lấy từ dịch vụ đã ghi nhưng chưa vào hóa đơn, để khớp với báo cáo doanh thu. Dòng phụ thu sinh tự động như phụ thu thêm người hay phụ thu lệch giờ được tách thành nhóm riêng, không trộn với dịch vụ do khách chủ động mua.",Có dữ liệu dịch vụ phụ thu đã vào hóa đơn trong kỳ báo cáo.,Chủ cơ sở biết được cấu thành doanh thu phụ thu theo từng dịch vụ và có căn cứ để điều chỉnh danh mục.,"QTN-12, QTN-10, QTN-09",Nên có,,"NCL-05-CN-001, NCL-07-CN-002",Thành viên hai,Chưa thực hiện,
115,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-011,So sánh chỉ số với kỳ trước,"Là Chủ cơ sở, tôi muốn so sánh công suất và doanh thu của kỳ này với kỳ liền trước và cùng kỳ năm trước, để biết mình đang tốt lên hay xấu đi chứ không chỉ biết con số tuyệt đối.",Chủ cơ sở,Một con số công suất bảy mươi phần trăm không nói lên điều gì nếu không biết tháng trước là bao nhiêu. So sánh là thứ biến báo cáo thành quyết định.,"Người dùng chọn một kỳ báo cáo, hệ thống hiển thị song song số liệu của kỳ đó, kỳ liền trước có cùng độ dài và cùng kỳ của năm trước nếu có dữ liệu, kèm mức chênh lệch tuyệt đối và tỷ lệ phần trăm. Áp dụng cho các chỉ số công suất, doanh thu tiền phòng, doanh thu phụ thu, giá bán trung bình và doanh thu trên mỗi phòng. Kỳ so sánh không có dữ liệu thì hiển thị dấu gạch chứ không hiển thị tăng trưởng vô hạn. Số ngày của hai kỳ khác nhau, ví dụ tháng ba mươi mốt ngày so với tháng ba mươi ngày, thì hệ thống ghi chú rõ để người đọc không hiểu nhầm. Không thêm biểu đồ mới, chỉ bổ sung cột so sánh vào các báo cáo đang có.",Có dữ liệu báo cáo của ít nhất hai kỳ liên tiếp.,Mỗi chỉ số trong báo cáo đều đi kèm mức chênh lệch so với kỳ trước và cùng kỳ năm trước.,"QTN-10, QTN-09",Nên có,,"NCL-07-CN-002, NCL-07-CN-009, NCL-07-CN-004",Thành viên hai,Chưa thực hiện,
116,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-007,Giá thỏa thuận cho khách đoàn và khách công ty,"Là Chủ cơ sở, tôi muốn khai báo mức giá thỏa thuận cho một khách công ty hoặc một đoàn, để lễ tân áp đúng giá đã cam kết mà không phải giảm giá thủ công từng hóa đơn.",Chủ cơ sở,"Hiện mọi mức giá khác bảng giá đều phải đi qua giảm giá thủ công có phê duyệt, vừa chậm vừa làm báo cáo giảm giá bị nhiễu bởi các mức giá vốn đã được thỏa thuận từ trước.","Chủ cơ sở tạo một thỏa thuận giá gắn với một khách công ty hoặc một hồ sơ đoàn, gồm khoảng thời gian hiệu lực, các loại phòng áp dụng và mức giá cố định hoặc tỷ lệ giảm so với bảng giá. Khi lễ tân tạo đặt phòng cho khách hoặc đoàn có thỏa thuận còn hiệu lực, hệ thống tự áp mức giá thỏa thuận và hiển thị rõ đang áp giá theo thỏa thuận nào, thay vì để lễ tân tự nhập. Thỏa thuận đứng ở mức ưu tiên cao nhất, trên cả giá ngày lễ. Đặt phòng đã xác nhận không bị ảnh hưởng khi thỏa thuận thay đổi hoặc hết hạn. Các đặt phòng áp giá thỏa thuận không tính vào phần giảm giá cần phê duyệt, nhưng được tách riêng trong báo cáo doanh thu để chủ cơ sở thấy phần doanh thu bán theo giá thỏa thuận.","Khách công ty đã có hồ sơ khách hoặc hồ sơ đoàn đã tồn tại, và bảng giá theo mùa đã được khai báo.","Đặt phòng của khách có thỏa thuận được áp đúng giá cam kết một cách tự động, và phần doanh thu này tách bạch trong báo cáo.","QTN-03, QTN-33, QTN-27, QTN-39",Quan trọng,,"NCL-13-CN-001, NCL-02-CN-006, NCL-04-CN-004",Thành viên một,Chưa thực hiện,
117,NCL-16,Quản lý nhiều cơ sở lưu trú,NCL-16-CN-001,Khai báo nhiều cơ sở và gán người dùng theo cơ sở,"Là Chủ cơ sở, tôi muốn quản lý nhiều homestay trong cùng một tài khoản, để không phải đăng nhập vào từng hệ thống riêng cho từng cơ sở.",Chủ cơ sở,"Chủ homestay thành công thường mở cơ sở thứ hai. Nếu sản phẩm không đi cùng họ ở bước đó thì họ buộc phải đổi sang phần mềm khác, và cơ sở đầu tiên cũng mất theo.","Chủ cơ sở khai báo nhiều cơ sở, mỗi cơ sở có thông tin riêng gồm tên, địa chỉ, giờ nhận trả phòng, chính sách hủy, chính sách cọc và danh mục dịch vụ phụ thu. Mỗi tài khoản người dùng được gán vào một hoặc nhiều cơ sở, kèm vai trò áp dụng cho từng cơ sở, để một người có thể là Lễ tân ở cơ sở này và không có quyền gì ở cơ sở kia. Phòng, loại phòng, bảng giá, đặt phòng, hóa đơn và khoản cọc đều thuộc về đúng một cơ sở và không được chuyển tùy tiện giữa các cơ sở. Cơ sở đang có đặt phòng chưa kết thúc thì không được xóa, chỉ được ngừng hoạt động. Tài khoản không được gán vào cơ sở nào thì không đăng nhập vào phần nghiệp vụ được. Mọi thay đổi cấu hình cơ sở và gán người dùng đều ghi nhật ký.",Hệ thống đang vận hành với một cơ sở và Chủ cơ sở có nhu cầu thêm cơ sở thứ hai.,"Nhiều cơ sở cùng tồn tại trong một hệ thống, mỗi cơ sở có cấu hình riêng và mỗi người dùng có quyền riêng theo từng cơ sở.","QTN-09, QTN-38, QTN-10",Nên có,,"NCL-10-CN-001, NCL-01-CN-003",Thành viên bốn,Chưa thực hiện,
118,NCL-16,Quản lý nhiều cơ sở lưu trú,NCL-16-CN-002,Chuyển đổi cơ sở đang làm việc và cô lập dữ liệu,"Là Lễ tân, tôi muốn chọn cơ sở mình đang trực và chỉ thấy dữ liệu của cơ sở đó, để không nhận nhầm đặt phòng vào phòng của cơ sở khác.",Lễ tân,Cô lập dữ liệu là điều kiện an toàn bắt buộc của chế độ nhiều cơ sở. Thiếu nó thì tính năng đa cơ sở gây hại nhiều hơn lợi.,"Sau khi đăng nhập, người dùng thuộc nhiều cơ sở phải chọn cơ sở đang làm việc, và hệ thống hiển thị rõ tên cơ sở đó ở vị trí luôn nhìn thấy. Mọi màn hình nghiệp vụ gồm lịch phòng, đặt phòng, danh sách phòng cần dọn, hóa đơn, khoản cọc và báo cáo chỉ hiển thị dữ liệu của cơ sở đang chọn. Mọi thao tác tạo mới đều tự gắn vào cơ sở đang chọn, người dùng không được chọn cơ sở khác trong lúc thao tác. Chuyển cơ sở giữa chừng thì hệ thống nhắc lưu hoặc bỏ việc đang làm dở. Người dùng cố truy cập một bản ghi thuộc cơ sở khác, kể cả bằng đường dẫn trực tiếp, đều bị từ chối và việc đó được ghi nhật ký như một cảnh báo bảo mật. Nhật ký hoạt động ghi kèm cơ sở của mỗi thao tác.",Đã có từ hai cơ sở trở lên và người dùng được gán vào ít nhất một cơ sở.,"Người dùng chỉ nhìn thấy và thao tác được trên dữ liệu của cơ sở đang trực, mọi truy cập chéo đều bị chặn và ghi vết.","QTN-09, QTN-38, QTN-10",Nên có,,NCL-16-CN-001,Thành viên bốn,Chưa thực hiện,
119,NCL-16,Quản lý nhiều cơ sở lưu trú,NCL-16-CN-003,Báo cáo hợp nhất nhiều cơ sở,"Là Chủ cơ sở, tôi muốn xem công suất và doanh thu của tất cả cơ sở trên một màn hình, để so sánh giữa các cơ sở và biết nên dồn sức vào đâu.",Chủ cơ sở,Đây là lý do chính khiến chủ nhiều cơ sở chấp nhận dùng chung một hệ thống. Nếu vẫn phải cộng tay giữa các cơ sở thì đa cơ sở không tạo ra giá trị nào.,"Báo cáo hợp nhất hiển thị công suất, doanh thu tiền phòng, doanh thu phụ thu, giá bán trung bình và doanh thu trên mỗi phòng của từng cơ sở trong cùng một kỳ, kèm dòng tổng của toàn hệ thống. Cho lọc chọn tập hợp cơ sở cần xem và sắp xếp theo từng chỉ số để thấy ngay cơ sở nào đang kém. Công suất toàn hệ thống tính trên tổng số phòng của các cơ sở được chọn chứ không phải trung bình cộng của các tỷ lệ, và màn hình ghi rõ cách tính này. Chỉ tài khoản được gán quyền xem hợp nhất mới mở được báo cáo này, Lễ tân của một cơ sở không xem được số của cơ sở khác. Báo cáo xuất ra tệp được và dùng chung bộ lọc thời gian với các báo cáo hiện có.",Có từ hai cơ sở trở lên đang hoạt động và có dữ liệu hóa đơn trong kỳ báo cáo.,Chủ cơ sở so sánh được hiệu quả giữa các cơ sở trên cùng một bộ chỉ số và một kỳ thời gian.,"QTN-10, QTN-38, QTN-09",Nên có,,"NCL-16-CN-002, NCL-07-CN-009",Thành viên hai,Chưa thực hiện,
120,NCL-16,Quản lý nhiều cơ sở lưu trú,NCL-16-CN-004,Chuyển khách sang cơ sở khác khi hết phòng,"Là Lễ tân, tôi muốn giới thiệu và chuyển khách sang cơ sở anh em khi cơ sở mình đã hết phòng, để giữ khách trong hệ thống thay vì để khách đi tìm nơi khác.",Lễ tân,Biến việc hết phòng từ một lần mất khách thành một lần bán được ở cơ sở khác. Đây là giá trị mà chỉ chế độ nhiều cơ sở mới tạo ra được.,"Khi lễ tân tìm phòng cho một khoảng ngày mà cơ sở hiện tại đã hết phòng phù hợp, hệ thống hiển thị tình trạng còn trống của các cơ sở khác mà người dùng có quyền xem, gồm loại phòng và mức giá. Lễ tân chọn một cơ sở đích và tạo đặt phòng ở cơ sở đó, hệ thống chép sang thông tin khách và ghi nhận cơ sở giới thiệu để phục vụ đối chiếu nội bộ. Đặt phòng mới thuộc hoàn toàn về cơ sở đích, mọi hóa đơn và khoản cọc phát sinh đều ghi nhận ở cơ sở đích chứ không chia đôi. Lễ tân không có quyền ở cơ sở đích thì chỉ xem được tình trạng trống và gửi yêu cầu, việc xác nhận do lễ tân của cơ sở đích thực hiện. Toàn bộ việc chuyển khách được ghi nhật ký ở cả hai cơ sở.",Có từ hai cơ sở trở lên đang hoạt động và cơ sở hiện tại không còn phòng phù hợp cho khoảng ngày khách cần.,"Khách được chuyển sang cơ sở còn phòng với đặt phòng hợp lệ, và cơ sở giới thiệu được ghi nhận để đối chiếu.","QTN-01, QTN-09, QTN-38, QTN-10",Nên có,,"NCL-16-CN-002, NCL-03-CN-003",Thành viên một,Chưa thực hiện,
121,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-012,Gợi ý điều chỉnh giá theo công suất dự báo,"Là Chủ cơ sở, tôi muốn hệ thống gợi ý nên tăng hay giảm giá cho những ngày sắp tới dựa trên mức lấp đầy hiện tại, để không bán rẻ ngày cháy phòng và không để trống ngày ế.",Chủ cơ sở,"Tối ưu giá là mục tiêu nêu thẳng trong tầm nhìn sản phẩm. Gợi ý có kiểm soát là bước đi vừa sức, khác hẳn với định giá tự động vốn nằm ngoài phạm vi.","Hệ thống rà soát các ngày trong khoảng ba mươi ngày tới, so mức lấp đầy hiện tại của từng ngày với mức lấp đầy trung bình của cùng kỳ các năm trước và với ngưỡng do Chủ cơ sở cấu hình. Ngày có mức lấp đầy cao hơn ngưỡng trên thì gợi ý cân nhắc tăng giá, ngày thấp hơn ngưỡng dưới khi đã cận ngày thì gợi ý cân nhắc giảm giá hoặc mở bán thêm kênh. Mỗi gợi ý nêu rõ căn cứ gồm số phòng còn trống, số ngày còn lại tới ngày đó và mức lấp đầy tham chiếu. Hệ thống tuyệt đối không tự đổi giá, mọi thay đổi phải do Chủ cơ sở thực hiện qua chức năng cấu hình giá đã có. Chủ cơ sở bỏ qua một gợi ý và gợi ý đó không hiện lại cho ngày đó nữa. Dữ liệu quá khứ chưa đủ một năm thì hệ thống chỉ dùng ngưỡng cấu hình và ghi chú rõ mức tin cậy thấp.",Có dữ liệu công suất của ít nhất ba tháng và Chủ cơ sở đã cấu hình ngưỡng lấp đầy.,"Chủ cơ sở nhận được danh sách ngày nên xem lại giá kèm căn cứ rõ ràng, và toàn quyền quyết định có đổi giá hay không.","QTN-03, QTN-33, QTN-10",Nên có,,"NCL-07-CN-005, NCL-02-CN-006",Thành viên hai,Chưa thực hiện,
122,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-006,Nhập dữ liệu đặt phòng cũ từ tệp bảng tính,"Là Quản trị viên, tôi muốn nhập các đặt phòng đã nhận từ trước lên hệ thống bằng tệp bảng tính, để cơ sở dùng được ngay mà không mất các đặt phòng đã chốt trên sổ giấy.",Quản trị viên,Đây là rào cản lớn nhất khi một homestay chuyển từ sổ tay sang phần mềm. Không nhập được dữ liệu cũ thì cơ sở phải chạy song song hai hệ thống và thường bỏ cuộc giữa chừng.,"Quản trị viên tải về mẫu tệp bảng tính có sẵn các cột bắt buộc gồm tên khách, liên hệ, phòng, ngày nhận, ngày trả, giá và tình trạng thanh toán. Sau khi điền, tệp được tải lên và hệ thống kiểm tra trước toàn bộ trước khi ghi bất cứ dòng nào, liệt kê từng dòng lỗi kèm số dòng và lý do gồm sai định dạng ngày, phòng không tồn tại, ngày trả trước ngày nhận, hoặc trùng phòng với đặt phòng đã có. Chỉ khi người dùng xác nhận thì hệ thống mới ghi, và ghi theo nguyên tắc trọn vẹn hoặc không gì cả để tránh nhập được một nửa. Các đặt phòng nhập vào mang nhãn nguồn là nhập dữ liệu cũ, không sinh thông báo cho khách và không phát sinh yêu cầu thu cọc. Kết quả mỗi lần nhập được lưu lại gồm số dòng thành công, số dòng lỗi và người thực hiện.","Người thao tác là Quản trị viên, phòng và loại phòng đã được khai báo đầy đủ.","Các đặt phòng cũ nằm đúng trên lịch phòng và tuân thủ quy tắc chống trùng, kèm nhãn nguồn để phân biệt với dữ liệu phát sinh trong hệ thống.","QTN-01, QTN-17, QTN-10",Nên có,,"NCL-10-CN-003, NCL-03-CN-003",Thành viên ba,Chưa thực hiện,
123,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-007,Theo dõi phiên đăng nhập và buộc đăng xuất từ xa,"Là Quản trị viên, tôi muốn xem các phiên đang đăng nhập và buộc đăng xuất một phiên bất kỳ, để xử lý ngay khi một nhân viên nghỉ việc hoặc quên đăng xuất trên máy chung ở quầy.",Quản trị viên,"Ở cơ sở nhỏ, máy quầy thường dùng chung và nhân viên thay ca liên tục. Một phiên bị bỏ quên là đường vào thẳng tới dữ liệu khách và hóa đơn.","Màn hình liệt kê các phiên đang hoạt động gồm tên tài khoản, vai trò, thời điểm đăng nhập, thời điểm thao tác gần nhất và thiết bị. Quản trị viên buộc đăng xuất một phiên hoặc toàn bộ phiên của một tài khoản, người dùng đó bị đưa về màn hình đăng nhập ngay ở thao tác kế tiếp kèm thông báo lý do. Hệ thống tự kết thúc phiên không thao tác quá khoảng thời gian do Chủ cơ sở cấu hình. Khi một tài khoản bị khóa hoặc bị đổi vai trò, mọi phiên đang mở của tài khoản đó phải bị kết thúc để quyền cũ không còn hiệu lực. Quản trị viên không được buộc đăng xuất chính phiên của mình để tránh tự khóa mình ra ngoài. Mọi lần buộc đăng xuất đều ghi nhật ký kèm lý do.",Có ít nhất một phiên đăng nhập đang hoạt động ngoài phiên của chính Quản trị viên.,Quản trị viên kiểm soát được ai đang đăng nhập và cắt được quyền truy cập ngay lập tức khi cần.,"QTN-09, QTN-10",Quan trọng,,"NCL-01-CN-001, NCL-01-CN-006, NCL-08-CN-002",Thành viên bốn,Chưa thực hiện,
